scenario_id,region_id,family,label,selection_method,target_segment,disruption_mode,capacity_factor,p_fail_scale,max_edges,hazard_bbox_west,hazard_bbox_south,hazard_bbox_east,hazard_bbox_north,rail_travel_time_multiplier,rail_headway_multiplier,rail_capacity_multiplier,evidence_class,observed_disaster_data,duration_min,recovery_profile,temporal_scope,notes,road_travel_time_multiplier
goseong_random_capacity_reduction,goseong_mobilization,random,Deterministic random capacity-reduction baseline,hash_rank,all_road,capacity_reduction,0.30,1.0,8,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Hash-ranked road-edge subset; increased severity from 0.50/4edges to 0.30/8edges.,
goseong_random_blockage,goseong_mobilization,random,Deterministic random full-blockage baseline,hash_rank,all_road,blocked,0.00,1.0,8,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Hash-ranked blockage baseline; increased max_edges from 2 to 8.,
goseong_critical_link_blockage,goseong_mobilization,critical_link,Critical-link blockage by road betweenness,edge_betweenness,all_road,blocked,0.00,1.0,3,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Top road links by weighted edge betweenness; topology proxy only.,
goseong_access_origin_to_station,goseong_mobilization,access_road,Origin-to-rail-access road degradation,shortest_path,A->S,capacity_reduction,0.40,1.0,,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Shortest road path from assembly point to rail access point.,
goseong_access_origin_to_destination,goseong_mobilization,access_road,Origin-to-destination direct-road degradation,shortest_path,A->D,capacity_reduction,0.40,1.0,,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Shortest road path from assembly point to destination point.,
goseong_last_mile_station_to_destination,goseong_mobilization,last_mile,Rail-egress-to-destination last-mile degradation,shortest_path,R->D,capacity_reduction,0.40,1.0,,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Shortest road path from rail egress point to destination point.,
goseong_rail_station_access,goseong_mobilization,rail_station_access,Rail station access and egress road degradation,station_access,"S,R",capacity_reduction,0.50,1.0,6,,,,,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Road edges incident to rail access and egress connectors.,
goseong_spatial_tancheon_corridor,goseong_mobilization,spatial_hazard_overlay,Scenario-based Hongcheon corridor exposure overlay,bbox_midpoint,bbox,capacity_reduction,0.35,1.0,6,127.1060,37.5160,127.1120,37.5230,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Scenario bbox for corridor-exposure sensitivity only.,
goseong_spatial_feeder_east,goseong_mobilization,spatial_hazard_overlay,Feeder corridor east-of-assembly exposure overlay,bbox_midpoint,bbox,capacity_reduction,0.35,1.0,8,127.1250,37.5160,127.1310,37.5230,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Feeder A->S corridor exposure; does NOT intersect bus-direct A->D or lastmile R->D.,
goseong_spatial_lastmile_west,goseong_mobilization,spatial_hazard_overlay,Lastmile corridor west-of-egress exposure overlay expanded,bbox_midpoint,bbox,capacity_reduction,0.35,1.0,7,127.0990,37.5125,127.1045,37.5170,,,,scenario_based,false,240,static_full_horizon_no_recovery,metadata_only_not_dynamic_recovery,Expanded bbox for lastmile R->D corridor; from 100m x 110m to ~485m x 500m.,
